filename,canonical_smiles
1.xyz,c1cc2c3c(c1)B1c4cccc5c4N4c6c(cccc6B6c7cccc8c7N7c9c(cccc9B9c%10cccc(c%10N3c3c1c4c6c7c39)O2)[Se]8)S5
1a.xyz,c1cc2c3c(c1)oc1cccc4c1n3c1c3c5c6c7c1n4c1cccc4[se]c8cccc(c8n7c41)n6c1cccc4sc6cccc(c6n5c41)B23
1B-CzCrs.xyz,Cc1ccc(Oc2cc3c4c(c2-c2ccccc2C)Oc2ccc(C)cc2B4c2cc(C)cc4c5cc(C)ccc5n-3c24)cc1
1pSeXBN.xyz,Cc1ccc(N2c3ccc(C)cc3B3c4cc5c(=O)c6ccccc6[se]c5cc4N(c4c(C)cc(C)cc4C)c4cc(C)cc2c43)cc1
2a.xyz,c1ccc2c(c1)Oc1c3c(c4c5c1N1c6ccccc6Sc6cccc(c61)B5c1cccc5c1N4c1ccccc1[Se]5)Oc1ccccc1B23
2B-CzCrs.xyz,Cc1ccc2c(c1)Oc1c3c4c5c(c1-c1ccccc1C)Oc1ccc(C)cc1B5c1c(C(C)(C)C)ccc5c6ccc(C(C)(C)C)c(c6n-4c15)B23
2Cz-OP-BN.xyz,c1ccc(N2c3cccc4c3B3c5c(cccc5N(c5ccccc5)c5cccc2c53)-c2cc(-n3c5ccccc5c5ccccc53)c(-n3c5ccccc5c5ccccc53)cc2-4)cc1
2O.xyz,CC(C)(C)c1cc2c3c(c1)c(=O)c1cc(C(C)(C)C)cc4c5cc(C(C)(C)C)cc(c5n3c14)[P@@]2(=O)c1ccccc1
2P.xyz,CC(C)(C)c1cc2c3c(c1)c(=O)c1cc(C(C)(C)C)cc4c5cc(C(C)(C)C)cc(c5n3c14)P2c1ccccc1
2PO.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc2c(cc1[P@@]3(=O)c1ccccc1)-n1c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)cc(c31)[P@]2(=O)c1ccccc1
2PS.xyz,CC(C)(C)c1ccc2c(c1)[P@@](=S)(c1ccccc1)c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
2S.xyz,CC(C)(C)c1cc2c3c(c1)c(=O)c1cc(C(C)(C)C)cc4c5cc(C(C)(C)C)cc(c5n3c14)[P@@]2(=S)c1ccccc1
2tBuPQCZ.xyz,CC(C)(C)c1cc(-c2ccc3c(c2)c(=O)c2cccc4c(=O)c5cc(-c6cc(C(C)(C)C)cc(C(C)(C)C)c6)ccc5n3c24)cc(C(C)(C)C)c1
3BON.xyz,c1cc2c3c(c1)OB1c4ccccc4N4c5ccccc5B5c6ccccc6N6c7ccccc7B(O2)c2c-3c1c4c5c26
3O.xyz,CC[C@@H](C)c1ccc2c(c1)c(=O)c1cc([C@H](C)CC)cc3c4cc5c(cc4n2c13)c1cc([C@@H](C)CC)cc2c(=O)c3cc([C@@H](C)CC)ccc3n5c21
4F-BOB4.xyz,CC(C)(C)c1ccc2c(c1)Oc1cc3c(c4c1B2c1ccc(C(C)(C)C)cc1O4)B1c2ccccc2N2c4ccccc4B4c5c(cc(c1c52)N3c1c(F)cccc1F)B1c2ccccc2N(c2c(F)cccc2F)c2cc3oc5cc(C(C)(C)C)ccc5c3c4c21
4M-BOB4.xyz,Cc1cc(C)cc(N2c3cc4c5c(c3B3c6ccccc6N6c7ccccc7B7c8c(cc9c%10c8Oc8cc(C(C)(C)C)ccc8B%10c8ccc(C(C)(C)C)cc8O9)N(c8cc(C)cc(C)c8)c8cc2c3c6c87)Oc2cc(C(C)(C)C)ccc2B5c2ccc(C(C)(C)C)cc2O4)c1
4TCzBNCN.xyz,N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(-c2cc3c4c(c2)-n2c5ccccc5c5cccc(c52)B4c2cccc4c5ccccc5n-3c24)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21
6TBN.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-c2cc3c4c(c2)-n2c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)cc(c52)B4c2cc(C(C)(C)C)cc4c5cc(C(C)(C)C)ccc5n-3c24)c1-n1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)ccc21
A-BN.xyz,Cc1cc2N(c3c(C)cc(cc3C)C)c3cc4c(cc3B3c2c(c1)N(c1ccccc1)c1c3cccc1)c1c([C@@]24[C@@H]3C[C@@H]4C[C@H]2C[C@H](C3)C4)cccc1
A-DBN.xyz,Cc1cc(C)c(N2c3cc4c(cc3B3c5ccccc5N(c5ccccc5)c5cc(C)cc2c53)-c2cc3c(cc2C42[C@H]4C[C@@H]5C[C@@H](C[C@H]2C5)C4)N(c2c(C)cc(C)cc2C)c2cc(C)cc4c2B3c2ccccc2N4c2ccccc2)c(C)c1
ACR-BNCz.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
ACz-BN1.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc2c(c4c1B3c1cc(C(C)(C)C)cc3c5cc(C(C)(C)C)ccc5n-4c13)-c1ccccc1-n1c3ccccc3c3cccc-2c31
ACz-BN2.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc2c(c4c1B3c1cc(C(C)(C)C)cc3c5cc(C(C)(C)C)ccc5n-4c13)-c1ccccc1-n1c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)cc-2c31
ACz-BN3.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc2c(c4c1B3c1cc(C(C)(C)C)cc3c5cc(C(C)(C)C)ccc5n-4c13)-c1cccc3c4ccccc4n(c13)-c1ccccc1-2
ACz-BN4.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc2c(c4c1B3c1cc(C(C)(C)C)cc3c5ccccc5n-4c13)-c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n(c13)-c1ccccc1-2
Asym-DiDiKTa.xyz,CC[C@@H](C)c1cc2c(=O)c3ccccc3n3c4cc5c(=O)c6cccc7c(=O)c8cc([C@@H](C)CC)ccc8n(c5cc4c(=O)c(c1)c23)c76
BBCz-1Te.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2cccc4[te]c5ccccc5c24)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BBCz-2Te.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccc4[te]c5ccccc5c4c2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BBCz-3Te.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccc4c(c2)[te]c2ccccc24)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BCz-BN.xyz,CC(C)(C)c1ccc2c(c1)B1c3c(c4c5c(c3-n3c6ccc7ccccc7c6c6c7ccccc7cc1c63)Oc1ccc(C(C)(C)C)cc1B5c1cc3ccccc3c3c5c6ccccc6ccc5n-4c13)O2
BCz-R-BN.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1c2c(c4c5c1-n1c6ccc7ccccc7c6c6c7ccccc7cc(c61)B5c1cc(C(C)(C)C)cc5c6cc(C(C)(C)C)ccc6n-4c15)-n1c4ccc5ccccc5c4c4c5ccccc5cc(c41)B23
BCz-SCz.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cc2c3c4c1c1ccccc1n4-c1ccccc1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BCzBNSS-1.xyz,CC(C)(C)c1cc(-c2cc3c4c(c2)-n2c5c(cccc5c5ccc6c7ccccc7sc6c52)B4c2cccc4c5ccc6c7ccccc7sc6c5n-3c24)cc(C(C)(C)C)c1
BCzBNSS-2.xyz,CC(C)(C)c1cc(-c2cc3c4c(c2)-n2c5c(cccc5c5ccc6c7ccccc7sc6c52)B4c2cc4sc5ccccc5c4c4c5ccccc5n-3c24)cc(C(C)(C)C)c1
BCzBNSSe.xyz,CC(C)(C)c1cc(-c2cc3c4c(c2)-n2c5c(cccc5c5ccc6c7ccccc7sc6c52)B4c2cc4[se]c5ccccc5c4c4c5ccccc5n-3c24)cc(C(C)(C)C)c1
BDQuAc_S0.xyz,CC1(C)c2ccccc2N2c3ccccc3N3c4cccc5c4B(c4ccc1c2c43)c1ccc2c3c1N5c1ccccc1N3c1ccccc1C2(C)C
BDSpQuAc_S0.xyz,c1ccc2c(c1)N1c3cccc4c3B(c3ccc5c(c31)N2c1ccccc1[C@]51c2ccccc2-c2ccccc21)c1ccc2c3c1N4c1ccccc1N3c1ccccc1[C@]21c2ccccc2-c2ccccc21
BFC-BN.xyz,CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2cc3c4c(c2)-n2c5c(cccc5c5ccc6c7ccccc7oc6c52)B4c2cc(C(C)(C)C)ccc2N3c2ccc(C(C)(C)C)cc2)cc1
bfDOB-BN1.xyz,Cc1cc(C)c(N2c3ccccc3B3c4c2cc(C)cc4N(c2c(C)cc(C)cc2C)c2cc4c5c(c23)Oc2ccccc2B5c2ccc3oc5ccccc5c3c2O4)c(C)c1
bfDOB-BN2.xyz,Cc1cc(C)c(N2c3ccccc3B3c4c2cc(C)cc4N(c2c(C)cc(C)cc2C)c2cc4c5c(c23)Oc2cc3c(cc2B5c2ccc5oc6ccccc6c5c2O4)oc2ccccc23)c(C)c1
bfDOB-BN3.xyz,Cc1cc(C)c(N2c3ccccc3B3c4c2cc(C)cc4N(c2c(C)cc(C)cc2C)c2cc4c5c(c23)Oc2cc3c(cc2B5c2cc5oc6ccccc6c5cc2O4)oc2ccccc23)c(C)c1
BIC-mCz.xyz,CC[C@@H](C)c1ccc2c(c1)c1cc([C@H](C)CC)ccc1n2-c1ccc2c(c1)-n1c3ccc([C@H](C)CC)cc3c3cc([C@@H](C)CC)cc(c31)B2c1c(C)cc(C)cc1C
BIC-pCz.xyz,CC[C@@H](C)c1ccc2c(c1)c1cc(C)ccc1n2-c1ccc2c(c1)B(c1c(C)cc(C)cc1C)c1cc([C@H](C)CC)cc3c4cc([C@@H](C)CC)ccc4n-2c13
BM-1.xyz,Cc1ccc(N(c2cc3c4c(c2)N(c2c(C)cccc2C)c2ccc(C)cc2B4c2cc(C)ccc2N3c2c(C)cccc2C)c2c(C)cccc2C)cc1
BN(p)SCH3.xyz,CSc1cc2c3c(c1)-n1c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc(c41)B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN(p)SO2CH3.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(S(C)(=O)=O)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN(p)SOCH3.xyz,CS(=O)c1cc2c3c(c1)-n1c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc(c41)B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN-1TPh.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccccc2-c2cc(-c4ccccc4)cc(-c4ccccc4)c2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN-27Cz-BN.xyz,CC(C)n1c2cc(-c3cc4c5c(c3)-n3c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)cc(c63)B5c3cc(C(C)(C)C)cc5c6cc(C(C)(C)C)ccc6n-4c35)ccc2c2ccc(-c3cc4c5c(c3)-n3c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)cc(c63)B5c3cc(C(C)(C)C)cc5c6cc(C(C)(C)C)ccc6n-4c35)cc21
BN-2TPh.xyz,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2c(-c4ccccc4)cc(-c4ccccc4)cc2-c2ccccc2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13
BN-36Cz-BN.xyz,CC(C)n1c2ccc(-c3cc4c5c(c3)-n3c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)cc(c63)B5c3cc(C(C)(C)C)cc5c6cc(C(C)(C)C)ccc6n-4c35)cc2c2cc(-c3cc4c5c(c3)-n3c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)cc(c63)B5c3cc(C(C)(C)C)cc5c6cc(C(C)(C)C)ccc6n-4c35)ccc21
BN-BO.xyz,CC(C)(C)c1ccc2c(c1)B1c3cc(C(C)(C)C)ccc3Oc3cc(-c4cc5c6c(c4)-n4c7ccc(C(C)(C)C)cc7c7cc(C(C)(C)C)cc(c74)B6c4cc(C(C)(C)C)cc6c7cc(C(C)(C)C)ccc7n-5c46)cc(c31)O2
